index_waters,Electrophile,Electrophile SMILES,Nucleophile,Nucleophile SMILES,Product SMILES,nu/100000,prod/100000,prod/(nu+prod)*100,inhibition %,inhibition % in 5-fold dilution
Q34,E268_Tetrahydrofuran-3-carboxylic acid,C1COCC1C(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCC4CCOC4)CCC[C@]3(C)C2CC1,1.3,4.2,76.5,1.9,0
Q37,"E28_4-IODOBENZOIC ACID, 98%",C1=CC(=CC=C1C(=O)O)I,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCc4ccc(I)cc4)c(C(C)C)cc3CCC12,15.7,0,0,-17.2,0
Q38,"E75_4-FLUORO-1-NAPHTHOIC ACID, 97%",C1=CC=C2C(=C1)C(=CC=C2F)C(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCc4ccc(F)c5ccccc45)c(C(C)C)cc3CCC12,17.6,2,10.4,-21.1,0
Q39,"E121_3,5-DI-TERT-BUTYL-4-HYDROXYBENZOIC ACID, 97%",CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCc4cc(C(C)(C)C)c(O)c(C(C)(C)C)c4)c(C(C)C)cc3CCC12,13.4,22,62.2,-25.6,0
Q40,"E160_2,6-difluorobenzoic acid",C1=CC(=C(C(=C1)F)C(=O)O)F,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCc4c(F)cccc4F)c(C(C)C)cc3CCC12,8,0,0,-18.6,0
Q41,"E202_(9Z,12Z)-octadeca-9,12-dienoic acid",CCCCCC=CCC=CCCCCCCCC(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCCCCC=CCC=CCCCCCCCCNc1cc2c(cc1C(C)C)CCC1[C@](C)(CNCC)CCC[C@]21C,0,0,0,-14.4,0
Q42,E248_3-(3-Pyridyl)propionic acid,C1=CC(=CN=C1)CCC(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCCCc4cccnc4)c(C(C)C)cc3CCC12,6.2,3.3,34.4,0.5,0
Q43,E302_3-(2-Naphthyl)propanoic Acid,C1=CC=C2C=C(C=CC2=C1)CCC(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCCCc4ccc5ccccc5c4)c(C(C)C)cc3CCC12,2.3,18.8,89.1,-11.8,0
Q44,"E44_4-PYRAZOLECARBOXYLIC ACID, 97+%",C1=C(C=NN1)C(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCc4cn[nH]c4)c(C(C)C)cc3CCC12,15.4,2.3,13.1,-22.5,0
Q45,E174_2-(4-fluorophenyl)acetic acid,C1=CC(=CC=C1CC(=O)O)F,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCCc4ccc(F)cc4)c(C(C)C)cc3CCC12,16.3,23.7,59.2,-9.8,0
Q46,E268_Tetrahydrofuran-3-carboxylic acid,C1COCC1C(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCC4CCOC4)c(C(C)C)cc3CCC12,8.6,8.7,50.2,-0.5,0
R1,"E29_(1R)-(-)-10-CAMPHORSULFONIC ACID, 98%",CC1(C2CCC1(C(=O)C2)CS(=O)(=O)O)C,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCC(C)(C)O)CCC[C@]21C,54.6,0,0,109,0
R2,E76_2-(FLUOROSULFONYL)DIFLUOROACETIC ACID,C(=O)(C(F)(F)S(=O)(=O)F)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCC(F)(F)S(=O)(=O)F)CCC[C@]21C,68.8,68.8,50,110.4,4.2
R3,E122_2-acetyloxybenzoic acid,CC(=O)OC1=CC=CC=C1C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(=O)Oc1c(cccc1)CNC[C@@]2(C)[C@H]3[C@](C)(CCC2)c4c(CC3)cc(C(C)C)cc4,1.9,4.8,71.6,38.8,0
R4,"E161_2-(2,6-dimethoxyanilino)-2-oxoacetic acid",COC1=C(C(=CC=C1)OC)NC(=O)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,COc1cccc(OC)c1NC(=O)CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@@H]12,36.1,5.7,13.6,81.5,-2.42
R5,"E203_(4R)-4-[(3R,5R,8R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid",CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCCCC(C)C3CCC4C5CCC6CC(O)CCC6(C)C5CCC34C)CCC[C@]21C,4.7,0,0,18.7,0
R6,E249_2-(1H-Pyrazol-1-yl)benzoic acid,C1=CC=C(C(=C1)C(=O)O)N2C=CC=N2,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3ccccc3-n3cccn3)CCC[C@]21C,30.3,33.9,52.8,73.8,-4.85
R7,E303_3-(Naphthalen-2-yl)acrylic acid,C1=CC=C2C=C(C=CC2=C1)C=CC(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCC=Cc3ccc4ccccc4c3)CCC[C@]21C,16.7,21.3,56,47.8,0
R8,E45_4-PHENYLBUTYRIC ACID 99%,C1=CC=C(C=C1)CCCC(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCCCCc3ccccc3)CCC[C@]21C,4,29.7,88.2,25.8,0
