gene_id,symbol,log2FoldChange,padj,Sig
ENSG00000031698,SARS1,-0.082183576,0.007822872,NS
ENSG00000031823,RANBP3,-0.073758626,0.039379099,NS
ENSG00000032219,ARID4A,-0.037369448,0.445330712,NS
ENSG00000032389,EIPR1,-0.008976447,0.884522123,NS
ENSG00000032444,PNPLA6,0.000393697,0.99512713,NS
ENSG00000032742,IFT88,0.005282673,0.937739485,NS
ENSG00000033011,ALG1,0.026217211,0.56845656,NS
ENSG00000033030,ZCCHC8,0.009812971,0.873258641,NS
ENSG00000033050,ABCF2,0.010014202,0.854950772,NS
ENSG00000033100,CHPF2,0.078604692,0.046365932,NS
ENSG00000033122,LRRC7,0.107332189,NA,NS
ENSG00000033170,FUT8,0.013113898,0.826393179,NS
ENSG00000033178,UBA6,0.050455358,0.275438173,NS
ENSG00000033327,GAB2,0.086838008,NA,NS
ENSG00000033627,ATP6V0A1,0.113530059,0.005506987,NS
ENSG00000033800,PIAS1,-0.004562581,0.945885664,NS
ENSG00000033867,SLC4A7,0.055450038,0.223555955,NS
ENSG00000034053,APBA2,-0.014609072,0.789214828,NS
ENSG00000034152,MAP2K3,0.031184867,0.479300091,NS
ENSG00000034510,TMSB10,-0.121156668,0.00403892,NS
ENSG00000034533,ASTE1,0.006222814,0.923750304,NS
ENSG00000034677,RNF19A,0.074234661,0.095070759,NS
ENSG00000034693,PEX3,-0.028316849,0.579067475,NS
ENSG00000034713,GABARAPL2,0.009525744,0.862927824,NS
ENSG00000035115,SH3YL1,0.029868018,0.552160999,NS
ENSG00000035141,FAM136A,0.032101753,0.457360419,NS
ENSG00000035403,VCL,0.05851384,0.154537222,NS
ENSG00000035499,DEPDC1B,-0.043052541,0.28622526,NS
ENSG00000035664,DAPK2,-0.007664597,NA,NS
ENSG00000035681,NSMAF,-0.025488264,0.599017003,NS
ENSG00000035687,ADSS2,0.046013661,0.227848247,NS
ENSG00000035862,TIMP2,0.111999569,0.008573516,NS
ENSG00000035928,RFC1,-0.016004227,0.751372155,NS
