FILE_NAME,FILE_TEXT,MS_FILE,INLET_FILE,SAMPLE_LOCATION,ID,INJ_VOL,Index,Job,User,1536loc,384loc,384plate
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H27_4_D3,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H27_4_D3,2min melodie,2m melodie,"7:D,3",ID_H27,0.2,H27,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,H27,D3,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H28_4_D4,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H28_4_D4,2min melodie,2m melodie,"7:D,4",ID_H28,0.2,H28,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,H28,D4,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H29_4_D5,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H29_4_D5,2min melodie,2m melodie,"7:D,5",ID_H29,0.2,H29,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,H29,D5,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H30_4_D6,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H30_4_D6,2min melodie,2m melodie,"7:D,6",ID_H30,0.2,H30,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,H30,D6,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H31_4_D7,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H31_4_D7,2min melodie,2m melodie,"7:D,7",ID_H31,0.2,H31,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,H31,D7,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H32_4_D8,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H32_4_D8,2min melodie,2m melodie,"7:D,8",ID_H32,0.2,H32,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,H32,D8,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H33_4_D9,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H33_4_D9,2min melodie,2m melodie,"7:D,9",ID_H33,0.2,H33,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,H33,D9,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H34_4_D10,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H34_4_D10,2min melodie,2m melodie,"7:D,10",ID_H34,0.2,H34,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,H34,D10,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H35_4_D11,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H35_4_D11,2min melodie,2m melodie,"7:D,11",ID_H35,0.2,H35,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,H35,D11,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H36_4_D12,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H36_4_D12,2min melodie,2m melodie,"7:D,12",ID_H36,0.2,H36,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,H36,D12,4.0
